sampling rate [Sa/s]: 500000000 
record length [Sa]: 100000 
record duration [s]: 2.00000000e-004 
range [V]: 0.400000 
resolution [b]: 12 
amplitude resolution [V]:1.95312503e-004 
block acquisition count: 1.000000 
FID per block count: 10 
number of averages: 10 
DAQ elapsed time [s]: 0.088000 
Time,Ch1
0.000000e+000,-1.03921574e-003 
2.000000e-009,-2.99999937e-003 
4.000000e-009,-2.56113708e-010 
6.000000e-009,-5.88235445e-004 
8.000000e-009,-1.19607821e-003 
1.000000e-008,-8.17647055e-003 
1.200000e-008,-1.35294115e-003 
1.400000e-008,-3.35294120e-003 
1.600000e-008,-2.56862715e-003 
1.800000e-008,-3.47058848e-003 
2.000000e-008,-1.21568628e-003 
2.200000e-008,-1.15686283e-003 
2.400000e-008,-3.17647085e-003 
2.600000e-008,7.84313492e-004 
2.800000e-008,-1.23529416e-003 
3.000000e-008,1.68627445e-003 
3.200000e-008,-4.78431284e-003 
3.400000e-008,2.13725492e-003 
3.600000e-008,-5.76470569e-003 
3.800000e-008,-8.82353261e-004 
4.000000e-008,2.98039243e-003 
4.200000e-008,-1.76470596e-003 
4.400000e-008,8.76470655e-003 
4.600000e-008,-5.43137267e-003 
4.800000e-008,1.00000007e-003 
5.000000e-008,1.78431384e-003 
5.200000e-008,1.29411761e-003 
5.400000e-008,-2.78431363e-003 
5.600000e-008,-1.62745118e-003 
5.800000e-008,1.11764707e-003 
6.000000e-008,-3.13725471e-003 
6.200000e-008,1.11764707e-003 
6.400000e-008,2.62745097e-003 
6.600000e-008,-1.50980372e-003 
6.800000e-008,2.60784309e-003 
7.000000e-008,-4.15686294e-003 
7.200000e-008,-1.80392154e-003 
7.400000e-008,-4.29411791e-003 
7.600000e-008,-4.33333293e-003 
7.800000e-008,-1.24470592e-001 
8.000000e-008,-4.00000048e-001 
8.200000e-008,-4.00000048e-001 
8.400000e-008,-4.00000048e-001 
8.600000e-008,-4.00000048e-001 
8.800000e-008,-4.00000048e-001 
9.000000e-008,-4.00000048e-001 
9.200000e-008,-4.00000048e-001 
9.400000e-008,-4.00000048e-001 
9.600000e-008,-4.00000048e-001 
9.800000e-008,-4.00000048e-001 
1.000000e-007,-4.00000048e-001 
1.020000e-007,-4.00000048e-001 
1.040000e-007,-4.00000048e-001 
1.060000e-007,-4.00000048e-001 
1.080000e-007,-4.00000048e-001 
1.100000e-007,-4.00000048e-001 
1.120000e-007,-4.00000048e-001 
1.140000e-007,-4.00000048e-001 
1.160000e-007,-4.00000048e-001 
1.180000e-007,-4.00000048e-001 
1.200000e-007,-4.00000048e-001 
1.220000e-007,-4.00000048e-001 
1.240000e-007,-4.00000048e-001 
1.260000e-007,-4.00000048e-001 
1.280000e-007,-4.00000048e-001 
1.300000e-007,-4.00000048e-001 
1.320000e-007,-4.00000048e-001 
1.340000e-007,-4.00000048e-001 
1.360000e-007,-4.00000048e-001 
1.380000e-007,-4.00000048e-001 
1.400000e-007,-4.00000048e-001 
1.420000e-007,-4.00000048e-001 
1.440000e-007,-4.00000048e-001 
1.460000e-007,-4.00000048e-001 
1.480000e-007,-4.00000048e-001 
1.500000e-007,-4.00000048e-001 
1.520000e-007,-4.00000048e-001 
1.540000e-007,-4.00000048e-001 
1.560000e-007,-4.00000048e-001 
1.580000e-007,-4.00000048e-001 
1.600000e-007,-4.00000048e-001 
1.620000e-007,-4.00000048e-001 
1.640000e-007,-4.00000048e-001 
1.660000e-007,-4.00000048e-001 
1.680000e-007,-3.98215723e-001 
1.700000e-007,-3.21431375e-001 
1.720000e-007,-1.47137260e-001 
1.740000e-007,-4.00000048e-001 
1.760000e-007,-4.00000048e-001 
1.780000e-007,-2.83823538e-001 
1.800000e-007,3.97686291e-001 
1.820000e-007,3.95764685e-001 
1.840000e-007,9.63529408e-002 
1.860000e-007,-4.00000048e-001 
1.880000e-007,-4.00000048e-001 
1.900000e-007,-4.00000048e-001 
1.920000e-007,-4.00000048e-001 
1.940000e-007,1.76705885e-001 
1.960000e-007,4.00000048e-001 
1.980000e-007,4.00000048e-001 
2.000000e-007,-9.49019551e-002 
2.020000e-007,-4.00000048e-001 
2.040000e-007,-3.23745108e-001 
2.060000e-007,-4.00000048e-001 
2.080000e-007,4.49019596e-003 
2.100000e-007,4.00000048e-001 
2.120000e-007,4.00000048e-001 
2.140000e-007,4.00000048e-001 
2.160000e-007,4.00000048e-001 
2.180000e-007,-1.92058814e-001 
2.200000e-007,-4.00000048e-001 
2.220000e-007,-3.66666651e-001 
2.240000e-007,-4.00000048e-001 
2.260000e-007,-4.00000048e-001 
2.280000e-007,-2.06470579e-002 
2.300000e-007,4.00000048e-001 
2.320000e-007,4.00000048e-001 
2.340000e-007,4.00000048e-001 
2.360000e-007,4.00000048e-001 
2.380000e-007,-3.04764700e-001 
2.400000e-007,-4.00000048e-001 
2.420000e-007,-3.80941200e-001 
2.440000e-007,-4.00000048e-001 
2.460000e-007,-3.95411777e-001 
2.480000e-007,1.24862742e-001 
2.500000e-007,4.00000048e-001 
2.520000e-007,4.00000048e-001 
2.540000e-007,4.00000048e-001 
2.560000e-007,3.44215679e-001 
2.580000e-007,-4.00000048e-001 
2.600000e-007,-4.00000048e-001 
2.620000e-007,-4.00000048e-001 
2.640000e-007,-4.00000048e-001 
2.660000e-007,-3.56352973e-001 
2.680000e-007,4.00000048e-001 
2.700000e-007,4.00000048e-001 
2.720000e-007,4.00000048e-001 
2.740000e-007,4.00000048e-001 
2.760000e-007,2.51372546e-002 
2.780000e-007,-4.00000048e-001 
2.800000e-007,-3.60901952e-001 
2.820000e-007,-4.00000048e-001 
2.840000e-007,-3.97666669e-001 
2.860000e-007,-3.43137264e-002 
2.880000e-007,4.00000048e-001 
2.900000e-007,4.00000048e-001 
2.920000e-007,4.00000048e-001 
2.940000e-007,3.96058798e-001 
2.960000e-007,-4.00000048e-001 
2.980000e-007,-4.00000048e-001 
3.000000e-007,-4.00000048e-001 
3.020000e-007,-4.00000048e-001 
3.040000e-007,-3.14568663e-001 
3.060000e-007,4.00000048e-001 
3.080000e-007,4.00000048e-001 
3.100000e-007,4.00000048e-001 
3.120000e-007,4.00000048e-001 
3.140000e-007,-5.53137243e-002 
3.160000e-007,-4.00000048e-001 
3.180000e-007,-3.48078465e-001 
3.200000e-007,-4.00000048e-001 
3.220000e-007,-3.98019600e-001 
3.240000e-007,1.89862740e-001 
3.260000e-007,4.00000048e-001 
3.280000e-007,4.00000048e-001 
3.300000e-007,4.00000048e-001 
3.320000e-007,2.07235312e-001 
3.340000e-007,-4.00000048e-001 
3.360000e-007,-4.00000048e-001 
3.380000e-007,-4.00000048e-001 
3.400000e-007,-4.00000048e-001 
3.420000e-007,-8.27450976e-003 
3.440000e-007,4.00000048e-001 
3.460000e-007,4.00000048e-001 
3.480000e-007,4.00000048e-001 
3.500000e-007,3.81999993e-001 
3.520000e-007,-4.00000048e-001 
3.540000e-007,-4.00000048e-001 
3.560000e-007,-4.00000048e-001 
3.580000e-007,-4.00000048e-001 
3.600000e-007,-1.15823531e-001 
3.620000e-007,4.00000048e-001 
3.640000e-007,4.00000048e-001 
3.660000e-007,4.00000048e-001 
3.680000e-007,3.98960805e-001 
