sampling rate [Sa/s]: 500000000 
record length [Sa]: 10000000 
record duration [s]: 2.00000000e-002 
range [V]: 0.800000 
resolution [b]: 12 
amplitude resolution [V]:3.90625006e-004 
block acquisition count: 1.000000 
FID per block count: 1000 
number of averages: 1000 
DAQ elapsed time [s]: 0.664000 
Time,Ch1
0.000000e+000,-1.53290157e-002 
2.000000e-009,-1.51172466e-002 
4.000000e-009,-1.54756851e-002 
6.000000e-009,-1.50717688e-002 
8.000000e-009,-1.53427467e-002 
1.000000e-008,-1.56313667e-002 
1.200000e-008,-1.55733347e-002 
1.400000e-008,-1.47623596e-002 
1.600000e-008,-1.52866707e-002 
1.800000e-008,-1.43180437e-002 
2.000000e-008,-1.60509834e-002 
2.200000e-008,-1.49411888e-002 
2.400000e-008,-1.46062813e-002 
2.600000e-008,-1.54851055e-002 
2.800000e-008,-1.45407801e-002 
3.000000e-008,-1.56156912e-002 
3.200000e-008,-1.50294113e-002 
3.400000e-008,-1.49674492e-002 
3.600000e-008,-1.52678509e-002 
3.800000e-008,-1.51537256e-002 
4.000000e-008,-1.55497942e-002 
4.200000e-008,-1.56498070e-002 
4.400000e-008,-1.48894110e-002 
4.600000e-008,-1.52572622e-002 
4.800000e-008,-1.58635254e-002 
5.000000e-008,-1.39231386e-002 
5.200000e-008,-1.56803951e-002 
5.400000e-008,-1.48282452e-002 
5.600000e-008,-1.59764719e-002 
5.800000e-008,-1.51666594e-002 
6.000000e-008,-1.53498039e-002 
6.200000e-008,-1.54517660e-002 
6.400000e-008,-1.49764700e-002 
6.600000e-008,-1.45054884e-002 
6.800000e-008,-1.56129417e-002 
7.000000e-008,-1.48898058e-002 
7.200000e-008,-1.45180302e-002 
7.400000e-008,-1.47341242e-002 
7.600000e-008,-1.41258860e-002 
7.800000e-008,-5.12658958e-002 
8.000000e-008,-3.42258209e-001 
8.200000e-008,-6.36211487e-001 
8.400000e-008,-5.33460144e-001 
8.600000e-008,-6.10290344e-001 
8.800000e-008,-5.59817261e-001 
9.000000e-008,-5.85677429e-001 
9.200000e-008,-5.88703430e-001 
9.400000e-008,-5.84218933e-001 
9.600000e-008,-5.84369873e-001 
9.800000e-008,-6.00355835e-001 
1.000000e-007,-6.28200378e-001 
1.020000e-007,-6.05585815e-001 
1.040000e-007,-5.89990112e-001 
1.060000e-007,-6.03981995e-001 
1.080000e-007,-5.80829224e-001 
1.100000e-007,-5.81757935e-001 
1.120000e-007,-5.92626343e-001 
1.140000e-007,-5.79475952e-001 
1.160000e-007,-5.89904480e-001 
1.180000e-007,-5.87063843e-001 
1.200000e-007,-5.86122192e-001 
1.220000e-007,-5.84208557e-001 
1.240000e-007,-5.83514832e-001 
1.260000e-007,-5.85060059e-001 
1.280000e-007,-5.84325378e-001 
1.300000e-007,-5.90923279e-001 
1.320000e-007,-5.88978027e-001 
1.340000e-007,-5.82437500e-001 
1.360000e-007,-5.89705750e-001 
1.380000e-007,-5.85292419e-001 
1.400000e-007,-5.86964966e-001 
1.420000e-007,-5.86510376e-001 
1.440000e-007,-5.81371460e-001 
1.460000e-007,-5.82735046e-001 
1.480000e-007,-5.79154053e-001 
1.500000e-007,-5.79288147e-001 
1.520000e-007,-5.78943665e-001 
1.540000e-007,-5.81969971e-001 
1.560000e-007,-5.77995117e-001 
1.580000e-007,-5.67386597e-001 
1.600000e-007,-5.71393433e-001 
1.620000e-007,-5.71255371e-001 
1.640000e-007,-5.79849365e-001 
1.660000e-007,-5.76865723e-001 
1.680000e-007,-5.83136047e-001 
1.700000e-007,-5.85058289e-001 
1.720000e-007,-5.58069275e-001 
1.740000e-007,-3.78036316e-001 
1.760000e-007,-3.43218201e-001 
1.780000e-007,-7.67887024e-001 
1.800000e-007,-5.18358948e-001 
1.820000e-007,-2.82001312e-001 
1.840000e-007,7.99992371e-001 
1.860000e-007,4.54425476e-001 
1.880000e-007,-4.14417603e-001 
1.900000e-007,-7.99990051e-001 
1.920000e-007,-4.73837280e-001 
1.940000e-007,-6.64364929e-001 
1.960000e-007,-4.37453888e-001 
1.980000e-007,3.77627197e-001 
2.000000e-007,7.99992371e-001 
2.020000e-007,2.51678391e-001 
2.040000e-007,-5.12924194e-001 
2.060000e-007,-7.99992371e-001 
2.080000e-007,-5.65917236e-001 
2.100000e-007,-6.54807983e-001 
2.120000e-007,3.09921204e-001 
2.140000e-007,7.99992371e-001 
2.160000e-007,5.64304871e-001 
2.180000e-007,7.84805847e-001 
2.200000e-007,2.47607635e-001 
2.220000e-007,-7.99992371e-001 
2.240000e-007,-6.21304443e-001 
2.260000e-007,-5.36604980e-001 
2.280000e-007,-6.56569763e-001 
2.300000e-007,-4.58768890e-001 
2.320000e-007,2.78294312e-001 
2.340000e-007,7.99992371e-001 
2.360000e-007,4.65243195e-001 
2.380000e-007,7.94371155e-001 
2.400000e-007,2.78074455e-002 
2.420000e-007,-7.99992371e-001 
2.440000e-007,-4.88531586e-001 
2.460000e-007,-6.12973145e-001 
2.480000e-007,-7.00873413e-001 
2.500000e-007,-4.04080048e-001 
2.520000e-007,4.84518250e-001 
2.540000e-007,7.99992371e-001 
2.560000e-007,5.32012878e-001 
2.580000e-007,7.79695068e-001 
2.600000e-007,-2.70922180e-001 
2.620000e-007,-7.99992371e-001 
2.640000e-007,-3.95009979e-001 
2.660000e-007,-7.17482666e-001 
2.680000e-007,-6.29377136e-001 
2.700000e-007,-2.24043259e-001 
